,parcel,abstrprd,livearea,finbsmnt,basement,yrbuilt,totunits,stories,nocars,numbdrm,numbaths,sprice,deduct,netprice,tasp,smonth,syear,condition_AVG,condition_Excel,condition_Fair,condition_Good,condition_VGood,quality_A,quality_B,quality_C,quality_D,quality_X,gartype_Att,gartype_Att/Det,gartype_CP,gartype_Det,gartype_None,gartype_att/CP,gartype_det/CP,arcstyle_BI-LEVEL,arcstyle_CONVERSIONS,arcstyle_END UNIT,arcstyle_MIDDLE UNIT,arcstyle_ONE AND HALF-STORY,arcstyle_ONE-STORY,arcstyle_SPLIT LEVEL,arcstyle_THREE-STORY,arcstyle_TRI-LEVEL,arcstyle_TRI-LEVEL WITH BASEMENT,arcstyle_TWO AND HALF-STORY,arcstyle_TWO-STORY,qualified_Q,qualified_U,status_I,status_V,before1980
78,00141-51-011-000,1112,1731,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
79,00141-51-012-000,1112,1420,0,0,2012,1,2,2,2,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
80,00141-51-013-000,1112,1731,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
81,00141-51-014-000,1112,1743,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
82,00141-51-015-000,1112,1731,0,0,2012,1,2,2,4,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
83,00141-51-016-000,1112,1456,0,0,2012,1,1,2,2,2,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
84,00141-52-016-000,1112,1743,0,731,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
85,00141-52-017-000,1112,1470,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
86,00141-52-018-000,1112,1731,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
87,00141-52-019-000,1112,1743,0,0,2012,1,2,2,3,3,17113000,0,17113000,17113000,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
88,00141-53-001-000,1112,1743,0,0,2010,1,2,2,3,3,186000,0,186000,186000,3,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
89,00141-53-002-000,1112,1420,0,0,2010,1,2,2,3,3,160500,0,160500,160500,12,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
90,00141-53-003-000,1112,1743,0,0,2010,1,2,2,3,3,175700,0,175700,175700,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
91,00141-53-004-000,1112,1743,0,0,2010,1,2,2,3,3,187000,0,187000,187000,4,2011,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
92,00141-53-005-000,1112,1504,0,731,2010,1,2,2,3,3,203700,0,203700,203700,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
93,00141-53-006-000,1112,1463,0,0,2010,1,1,2,2,2,161000,0,161000,161000,11,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
94,00141-53-007-000,1112,1743,0,0,2010,1,2,2,4,3,165100,0,165100,165100,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
95,00141-53-008-000,1112,1432,0,667,2010,1,2,2,2,3,188400,0,188400,188400,9,2010,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
