,parcel,nbhd,abstrprd,livearea,finbsmnt,basement,yrbuilt,condition,quality,totunits,stories,gartype,nocars,xtraffic,floorlvl,numbdrm,numbaths,arcstyle,sprice,deduct,netprice,tasp,smonth,syear,qualified,status
8912,02323-26-058-000,247,1114,936,60,207,1906,AVG,C,1,1,Det,1,,,2,1,END UNIT,137000,3000,134000,137439,10,2011,Q,I
8913,02323-26-059-000,247,1114,869,0,206,1906,AVG,C,1,1,Det,1,,,2,1,MIDDLE UNIT,134100,3600,130500,131337,4,2012,Q,I
8914,02323-26-060-000,247,1114,925,0,204,1906,AVG,C,1,1,Det,1,,,2,1,END UNIT,140000,2445,137555,141527,9,2011,Q,I
8915,02323-27-053-000,247,1114,1374,0,0,1984,AVG,C,1,2,None,0,,,3,2,END UNIT,195000,2999,192001,193092,3,2012,Q,I
8916,02323-27-058-000,247,1114,1126,1070,1126,2002,AVG,C,2,1,None,0,,,5,3,END UNIT,93000,0,93000,93000,3,2011,U,I
8917,02323-27-059-000,247,1114,1126,1070,1126,2002,AVG,C,2,1,None,0,,,5,3,END UNIT,99000,0,99000,99000,6,2011,U,I
8918,02323-27-060-000,247,1114,968,318,335,1906,AVG,C,1,1,Det,1,,,2,1,END UNIT,163000,4890,158110,167748,11,2010,Q,I
8919,02323-27-061-000,247,1114,968,318,335,1906,AVG,C,1,1,Det,1,,,2,1,END UNIT,167000,4800,162200,171567,12,2010,Q,I
8920,02323-29-006-000,247,1112,1064,0,271,1907,AVG,C,1,1,None,0,,,2,1,ONE-STORY,165000,4759,160241,161111,4,2012,Q,I
8921,02323-30-004-000,247,1112,1004,351,1004,1924,AVG,C,1,1,None,0,,,2,1,ONE-STORY,140500,0,140500,140500,1,2011,U,I
8922,02331-04-030-030,233,1130,2048,0,0,1930,AVG,B,1,1,None,0,,3.0,1,2,END UNIT,600000,0,600000,655328,3,2011,Q,I
8923,02331-04-059-059,233,1130,1145,0,0,1930,AVG,B,1,1,None,0,,6.0,1,1,END UNIT,350000,0,350000,371516,8,2011,Q,I
8924,02331-04-070-070,233,1130,1289,0,0,2001,AVG,A,1,1,None,0,,7.0,1,2,MIDDLE UNIT,400000,12000,388000,416623,6,2011,Q,I
8925,02331-04-073-073,233,1130,1493,0,0,2001,AVG,A,1,1,None,0,,8.0,1,2,MIDDLE UNIT,485000,0,485000,544631,10,2010,Q,I
8926,02331-04-077-077,233,1130,1371,0,0,2001,AVG,A,1,1,None,0,,8.0,1,2,END UNIT,345000,0,345000,374692,4,2011,U,I
8927,02331-05-034-034,233,1130,3754,0,0,1905,AVG,B,1,2,None,0,,5.0,0,2,END UNIT,825000,0,825000,840215,3,2012,U,I
8928,02331-05-043-043,233,1130,1482,0,0,1890,AVG,A,1,1,None,0,,2.0,0,2,MIDDLE UNIT,380000,9021,370979,409749,1,2011,Q,I
8929,02331-05-049-049,233,1130,2456,0,0,1890,AVG,A,1,2,None,0,,2.0,2,2,MIDDLE UNIT,509500,0,509500,543954,7,2011,U,I
8930,02331-05-057-057,233,1130,1679,0,0,1890,AVG,A,1,1,None,0,,3.0,0,2,MIDDLE UNIT,446000,0,446000,454225,3,2012,Q,I
8931,02331-05-059-059,233,1130,1482,0,0,1890,AVG,A,1,1,None,0,,3.0,0,1,MIDDLE UNIT,500000,0,500000,500000,6,2012,Q,I
8932,02331-05-062-062,233,1130,1647,0,0,1890,AVG,A,1,1,None,0,,3.0,0,2,MIDDLE UNIT,395000,0,395000,448422,8,2010,Q,I
8933,02331-05-068-068,233,1130,1890,0,0,1890,AVG,A,1,2,None,0,,4.0,1,3,END UNIT,495000,0,495000,495000,6,2012,U,I
8934,02331-05-095-095,252,1130,1391,0,0,1886,AVG,A,1,1,None,0,,3.0,1,2,MIDDLE UNIT,400000,0,400000,402459,5,2012,Q,I
8935,02331-05-109-109,252,1130,1832,0,0,1886,AVG,A,1,1,None,0,,4.0,1,2,END UNIT,675000,0,675000,691598,2,2012,Q,I
8936,02331-05-117-117,252,1130,1857,0,0,1886,AVG,A,1,2,None,0,,5.0,2,2,END UNIT,899000,0,899000,954266,8,2011,Q,I
8937,02331-06-061-061,233,1130,2183,0,0,2002,AVG,A,1,1,None,0,,3.0,2,2,END UNIT,940000,0,940000,968893,1,2012,Q,I
8938,02331-06-062-062,233,1130,2935,0,0,2002,Good,A,1,1,None,0,,4.0,2,3,END UNIT,1250000,0,1250000,1357581,4,2011,Q,I
8939,02331-06-072-072,233,1130,3024,0,0,2002,AVG,A,1,1,None,0,,6.0,3,3,END UNIT,1325000,0,1325000,1341291,4,2012,Q,I
8940,02331-06-144-144,233,1130,1753,0,0,2002,AVG,A,1,1,None,0,,2.0,3,3,END UNIT,475000,0,475000,489600,1,2012,U,I
8941,02331-08-026-026,233,1130,848,0,0,1981,AVG,B,1,1,None,0,,5.0,1,1,MIDDLE UNIT,167500,0,167500,167500,12,2011,U,I
8942,02331-08-040-040,233,1130,987,0,0,1981,AVG,B,1,1,None,0,,7.0,1,1,MIDDLE UNIT,240000,7200,232800,232800,11,2010,Q,I
8943,02331-08-054-054,233,1130,1080,0,0,1981,Good,B,1,1,None,0,,9.0,2,1,MIDDLE UNIT,240000,0,240000,240000,8,2011,Q,I
8944,02331-08-055-055,233,1130,1732,0,0,1981,Good,B,1,1,None,0,,9.0,2,2,END UNIT,515000,0,515000,515000,1,2012,Q,I
8945,02331-08-056-056,233,1130,1035,0,0,1981,AVG,B,1,1,None,0,,9.0,2,1,MIDDLE UNIT,253900,5343,248557,248557,3,2011,Q,I
8946,02331-08-113-113,233,1130,1909,0,0,1981,AVG,B,1,1,None,0,,15.0,2,2,END UNIT,545000,0,545000,545000,6,2011,Q,I
8947,02331-08-124-124,233,1130,1851,0,0,1981,AVG,B,1,1,None,0,,16.0,2,2,END UNIT,390000,0,390000,390000,12,2010,U,I
8948,02331-08-137-137,233,1130,1035,0,0,1981,AVG,B,1,1,None,0,,18.0,1,1,MIDDLE UNIT,235000,0,235000,235000,1,2011,U,I
8949,02331-08-140-140,233,1130,1909,0,0,1981,Good,B,1,1,None,0,,18.0,2,2,END UNIT,540000,0,540000,540000,6,2012,U,I
8950,02331-08-141-141,233,1130,987,0,0,1981,AVG,B,1,1,None,0,,18.0,1,1,MIDDLE UNIT,245000,2900,242100,242100,4,2011,Q,I
8951,02331-08-141-141,233,1130,987,0,0,1981,AVG,B,1,1,None,0,,18.0,1,1,MIDDLE UNIT,245000,0,245000,245000,7,2011,U,I
8952,02331-08-143-143,233,1130,987,0,0,1981,AVG,B,1,1,None,0,,18.0,1,1,MIDDLE UNIT,216500,0,216500,216500,9,2011,U,I
8953,02331-08-194-194,233,1130,2767,0,0,1981,AVG,B,1,1,None,0,,13.0,3,3,END UNIT,599500,0,599500,599500,3,2012,U,I
8954,02331-09-042-042,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,4.0,1,2,MIDDLE UNIT,235000,0,235000,235000,2,2011,U,I
8955,02331-09-051-051,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,5.0,2,2,END UNIT,315000,0,315000,315000,3,2011,Q,I
8956,02331-09-058-058,233,1130,816,0,0,1980,Good,B,1,1,None,0,,6.0,1,2,MIDDLE UNIT,215000,3700,211300,211300,4,2012,Q,I
8957,02331-09-079-079,233,1130,1283,0,0,1980,AVG,B,1,1,None,0,,9.0,2,2,END UNIT,315000,4000,311000,311000,6,2012,Q,I
8958,02331-09-104-104,233,1130,731,0,0,1980,Good,B,1,1,None,0,,12.0,1,1,MIDDLE UNIT,225000,0,225000,225000,5,2011,Q,I
8959,02331-09-110-110,233,1130,816,0,0,1980,AVG,B,1,1,None,0,,12.0,1,2,MIDDLE UNIT,236000,5862,230138,230138,3,2011,Q,I
